緯度,経度,郵便番号,都道府県,市区町村,町名,丁目,番,号,マンション名
35.7865283,139.2842575,198-0031,東京都,青梅市,師岡町,4丁目,4,1,エステート河辺３号棟
35.7551153,139.3212745,205-0023,東京都,羽村市,神明台,1丁目,27,3,エステート神明台
35.6475549,139.7472524,,東京都,,,,,,エステート芝
35.6973478,139.6183575,,東京都,,,,,,エストゥージョ・ポニェンテ
35.6468479,139.7123461,,東京都,,,,,,エストエビス
35.7396194,139.7459654,,東京都,,,,,,エストレージャ
35.7831549,139.2842465,198-0036,東京都,青梅市,,河辺町五丁目,9,20,エストレーラ
35.6177281,139.7438963,,東京都,,,,,,エスバイエルマンション北品川
35.7312024,139.7381461,,東京都,,,,,,エスパシオ
35.602373,139.6993728,,東京都,,,,,,エスパシオ上池台
35.6376219,139.6936765,,東京都,,,,,,エスプワールメゾン
35.6706253,139.4460156,,東京都,,,,,,エスペランサ
35.6703678,139.6233901,,東京都,,,,,,エスペランサ上北沢
35.6128151,139.3847811,,東京都,,,,,,エスペランサ南大沢
35.6193927,139.3863035,192-0364,東京都,八王子市,,南大沢一丁目,17,27,エスペランサ南大沢Ⅰ
35.7381562,139.4879658,,東京都,小平市,,,,,エスペランサ小平
35.7265821,139.6072012,,東京都,,,,,,エスペランサ正恵
35.623479,139.327638,,東京都,,,,,,エスペランザ
35.6070345,139.3265545,,東京都,,,,,,エスペランス・ドミール
35.6802021,139.3926336,191-0002,東京都,日野市,,新町一丁目,20,3,エスペラール
35.7323778,139.4760577,,東京都,,,,,,エスポアール
35.6891039,139.5725258,,東京都,,,,,,エスポアール三鷹
35.5964981,139.7089322,,東京都,,,,,,エスポアール寿
35.687633,139.6194938,,東京都,,,,,,エスポラール高井戸
35.7950453,139.3004634,198-0021,東京都,青梅市,今寺,4丁目,13,7,エスポワール
35.6993283,139.6110971,,東京都,,,,,,エスポワール
35.7780729,139.5023468,,東京都,,,,,,エスポワール
35.7369465,139.4960459,,東京都,,,,,,エスポワール
35.7679844,139.6431482,,東京都,,,,,,エスポワール 聖
35.5893004,139.4649169,,東京都,,,,,,エスポワール1
35.5894342,139.4649899,,東京都,,,,,,エスポワール2
35.5477032,139.7415599,144-0043,東京都,大田区,,羽田二丁目,11,3,エスポワール21.S&K
35.7277803,139.2870358,,東京都,,,,,,エスポワール・シュド
35.6908968,139.8149361,135-0001,東京都,江東区,,毛利一丁目,11,12,エスポワール住吉
35.6909028,139.8151044,135-0001,東京都,江東区,,毛利一丁目,11,,エスポワール住吉
35.6953314,139.6354563,,東京都,,,,,,エスポワール南阿佐ヶ谷
35.7405725,139.7411008,,東京都,,,,,,エスポワール富喜
35.657893,139.6916492,,東京都,,,,,,エスポワール渋谷松濤
35.7463458,139.7357636,,東京都,,,,,,エスポワール滝野川
35.7491787,139.7352264,,東京都,,,,,,エスポワール滝野川
35.7541408,139.73527,,東京都,,,,,,エスポワール王子
35.7222452,139.7013782,,東京都,,,,,,エスポワール目白
35.7299213,139.6078445,,東京都,,,,,,エスポワール石神井A棟
35.7296958,139.6079552,,東京都,,,,,,エスポワール石神井B棟
35.7294548,139.6080323,,東京都,,,,,,エスポワール石神井C棟
35.5485629,139.7471236,144-0043,東京都,大田区,,羽田四丁目,21,7,エスポワール羽田
35.5468848,139.7440446,144-0043,東京都,大田区,,羽田三丁目,15,3,エスポワール羽田壱番館
35.7681825,139.6471662,,東京都,,,,,,エスポワール赤塚
35.7386454,139.7482256,,東京都,,,,,,エスポワール駒込
35.6374428,139.7337759,,東京都,,,,,,エスポワール高輪
35.5761868,139.7456223,,東京都,,,,,,エスラインギフ社宅
35.758489,139.7377235,,東京都,,,,,,エスレジデンス王子ウエスト
35.6879609,139.5678211,,東京都,,,,,,エス・エイ ハイツ
35.758695,139.3193146,205-0011,東京都,羽村市,,五ノ神一丁目,14,11,エタニティ五ノ神
35.6995903,139.4075009,190-0012,東京都,立川市,曙町,1丁目,20,3,エターナルハラシマ
35.7304805,139.4700752,,東京都,,,,,,エッグ・ビル
35.7735247,139.5169662,,東京都,,,,,,エテルノ デーア
35.7706192,139.6417431,175-0093,東京都,板橋区,赤塚新町,3丁目,3,15,エディフィシオ赤塚
35.7561927,139.3180679,205-0023,東京都,羽村市,,神明台一丁目,1,3,エトワール
35.7787941,139.3058803,198-0024,東京都,青梅市,新町,3丁目,10,6,エトワール
35.770863,139.6393223,175-0093,東京都,板橋区,赤塚新町,3丁目,8,5,エトワール下赤塚
35.6983658,139.6155724,,東京都,,,,,,エトワール南荻窪
35.708389,139.5823439,,東京都,,,,,,エトワール吉祥寺東町
35.7340946,139.4832379,,東京都,,,,,,エトワール小平
35.7325149,139.738166,,東京都,,,,,,エトワール巣鴨
35.7773252,139.3008626,205-0001,東京都,羽村市,小作台,2丁目,12,1,エトワール西和
35.7020283,139.63524,,東京都,,,,,,エヌエー・ハイム
35.7179648,139.688634,,東京都,,,,,,エヌ・ハイツ
35.6963396,139.8174604,,東京都,,,,,,エバプラザ
35.7277862,139.478541,,東京都,,,,,,エバーグリーンA
35.7275924,139.4785862,,東京都,,,,,,エバーグリーンB
35.6822875,139.6166265,,東京都,,,,,,エバーラスティング
35.6450845,139.7125452,,東京都,,,,,,エビスアパートメント
35.6287536,139.6329615,,東京都,,,,,,エフォール用賀
35.5479285,139.7491165,144-0043,東京都,大田区,,羽田五丁目,24,13,エフコート
35.6428269,139.4126973,,東京都,,,,,,エフヴェール・ヒルズ ソルコート
35.7370398,139.7490495,,東京都,,,,,,エミネンス
35.7693845,139.6587455,,東京都,,,,,,エミネンスコート
35.7778384,139.7175132,,東京都,,,,,,エミネンスタワー
35.7601719,139.4670238,,東京都,,,,,,エミネンス東村山
35.7726493,139.6437772,,東京都,,,,,,エミネンス赤塚
35.613285,139.7439172,,東京都,,,,,,エミールハイツ
35.7078786,139.5814856,,東京都,,,,,,エムウッド
35.6866952,139.8071275,,東京都,,,,,,エムエスハイツ
35.7082033,139.8624985,,東京都,,,,,,エムエッチコーポ
35.6421271,139.6097956,,東京都,,,,,,エムオーハイツ
35.7755214,139.5016892,,東京都,,,,,,エムシルフィード
35.648421,139.7541662,108-0014,東京都,港区,,芝一丁目,8,4,エムジー芝浦ビル
35.6896095,139.5837555,,東京都,,,,,,エムディオ三鷹台
35.7231868,139.7957169,111-0031,東京都,台東区,千束,4丁目,22,,エムビル
35.6973005,139.4167764,,東京都,,,,,,エムロード立川
35.7328039,139.4817599,,東京都,,,,,,エムワイ・ハイツ
35.7815096,139.516101,,東京都,,,,,,エメラルドハイツ
35.8005727,139.2999519,,東京都,,,,,,エメラルド・ガーデン
35.800477,139.299775,,東京都,,,,,,エメラルド・ガーデン２
35.6195668,139.7245871,,東京都,,,,,,エリゼ品川
35.6890439,139.6255761,,東京都,,,,,,エリハイツ
35.551352,139.7469542,144-0043,東京都,大田区,,羽田四丁目,2,3,エリヴィエール
35.7059213,139.7690379,,東京都,文京区,湯島,3丁目,17,11,エリートインエグゼクティブ
35.740496,139.7465628,,東京都,,,,,,エリーワコート
35.7401362,139.746539,,東京都,,,,,,エリーワールド
35.6907772,139.6202306,,東京都,,,,,,エル ガーデン
35.5922026,139.7288446,,東京都,,,,,,エルアルカサル山王
35.697739,139.4204434,,東京都,,,,,,エルウィング立川弐番館
35.7165693,139.7023253,,東京都,,,,,,エルコート高田馬場
35.70485,139.6381525,,東京都,,,,,,エルサイド
35.7037829,139.617125,,東京都,,,,,,エルシオン荻窪
35.7625437,139.851719,125-0061,東京都,葛飾区,亀有,2丁目,67,11,エルスタンザ亀有
35.716636,139.7659851,113-0031,東京都,文京区,,,,,エルスタンザ文京根津
35.7085282,139.6203101,,東京都,,,,,,エルスタンザ荻窪
35.6775791,139.5157789,,東京都,,,,,,エルスプランドゥール
35.5925851,139.7010365,,東京都,,,,,,エルセレブ上池台 トップヒル
35.7090566,139.7112425,,東京都,,,,,,エルセレーノ西早稲田
35.6575826,139.3758211,,東京都,,,,,,エルダーコート
35.7000847,139.6168345,,東京都,,,,,,エルデンシア荻窪
35.6666752,139.6519105,,東京都,,,,,,エルデ明大前
35.7553614,139.3245169,205-0023,東京都,羽村市,神明台,2丁目,6,42,エルドラードOKI
35.7168581,139.7024829,,東京都,,,,,,エルドーミ高田馬場
35.7582483,139.7425635,,東京都,,,,,,エルパレス王子
35.6404307,139.7380062,,東京都,,,,,,エルブランカ高輪
35.654956,139.7270824,,東京都,,,,,,エルマンション
35.6805508,139.6919353,,東京都,,,,,,エルミタージュ参宮橋
35.7311669,139.4703854,,東京都,,,,,,エルムウッド'90
35.6584113,139.3343519,,東京都,,,,,,エルメゾンユウ
35.6068887,139.3249947,,東京都,,,,,,エルレーブⅡ
35.7336208,139.737848,,東京都,,,,,,エルヴィータ巣鴨
35.6159839,139.6949398,,東京都,,,,,,エルヴィーナ目黒
35.6339591,139.7128584,,東京都,,,,,,エル・アルカサル 目黒
35.7692119,139.6526838,,東京都,,,,,,エル・アンド・エフ
35.769094,139.6472565,,東京都,,,,,,エレガンス下赤塚
35.7715872,139.8767145,,東京都,,,,,,エレガンス金町
35.6868776,139.5673274,,東京都,,,,,,エレンド井の頭
35.604724,139.3305409,,東京都,,,,,,エレヴァート
35.6409273,139.7273053,,東京都,,,,,,エロ・カンターレ信仰記念館
35.5483451,139.7350253,,東京都,,,,,,エンゼルハイム 大鳥居第6
35.5488444,139.7106779,,東京都,,,,,,エンゼルハイム仲六郷
35.5425975,139.7162414,,東京都,,,,,,エンゼルハイム南六郷第2
35.5456328,139.7340329,,東京都,,,,,,エンゼルハイム多摩リバーサイド第3
35.5748943,139.7237417,,東京都,,,,,,エンゼルハイム大森西
35.578676,139.7390629,,東京都,,,,,,エンゼルハイム平和の森
35.5628945,139.734866,144-0032,東京都,大田区,,北糀谷一丁目,14,4,エンゼルハイム梅屋敷
35.5687299,139.7307733,,東京都,,,,,,エンゼルハイム梅屋敷第2
35.7331963,139.5323995,,東京都,,,,,,エンゼルハイム田無
35.5491203,139.7331869,144-0044,東京都,大田区,本羽田,2丁目,4,10,エンゼルハイム萩中公園
35.55925,139.7177912,,東京都,,,,,,エンゼルハイム蒲田
35.6904707,139.8112,,東京都,,,,,,エンゼルハイム錦糸町
35.7124058,139.6399672,,東京都,,,,,,エンゼルハイム阿佐ヶ谷
35.7836943,139.7635533,,東京都,,,,,,エンゼルハイム鹿浜第11
35.7404558,139.7446489,,東京都,,,,,,エンゼルビル
35.7985411,139.3022977,198-0022,東京都,青梅市,藤橋,2丁目,560,3,エントピアかすみ
35.7408513,139.7429231,,東京都,,,,,,エントピア駒込
35.6998227,139.4109362,190-0012,東京都,立川市,曙町,1丁目,28,7,エンドウビル
35.5839284,139.7004324,,東京都,,,,,,エンブレム西馬込
35.6844164,139.609272,,東京都,,,,,,エヴァグリーン
35.7739232,139.4863464,,東京都,,,,,,エヴァー グレース
35.667235,139.8578291,,東京都,,,,,,エヴァーグリーン西葛西
35.6056455,139.3138508,,東京都,,,,,,エーエスビル
35.7687223,139.6601181,,東京都,,,,,,エースコーポ
35.605537,139.344427,,東京都,,,,,,エースコーポ2
35.6073774,139.3451827,,東京都,,,,,,エースコーポこたねいし
35.7405968,139.7387478,,東京都,,,,,,エースハイム染井
35.7964907,139.2943302,198-0014,東京都,青梅市,大門,2丁目,226,1,エーデルワイス
35.563609,139.4640556,,東京都,,,,,,エーデルワイス玉川学園
35.7010973,139.4453979,,東京都,,,,,,エーデル国立
35.623117,139.3885686,,東京都,,,,,,エールコート
35.7704879,139.5176546,,東京都,,,,,,エール清瀬
35.7126754,139.7033993,,東京都,,,,,,オアシスプラザビル
35.6699198,139.4696856,183-0021,東京都,府中市,,片町二丁目,18,44,オカノハイツ
35.6740012,139.4980667,183-0005,東京都,府中市,若松町,3丁目,3-2,,オクラファーム府中
35.7843393,139.283385,198-0036,東京都,青梅市,河辺町,5丁目,2,1,オザワビル
35.701679,139.6674079,164-0011,東京都,中野区,中央,4丁目,27,11,オスカー中央マンション
35.7286095,139.5123186,,東京都,,,,,,オハナテラス花小金井
35.7365728,139.4158495,,東京都,,,,,,オハナ玉川上水ガーデニア
35.6545329,139.7254028,,東京都,,,,,,オパス有栖川テラス＆レジデンス
35.6648586,139.3023994,,東京都,,,,,,オパールマンション
35.7720072,139.6455194,,東京都,,,,,,オプティ赤塚
35.6613439,139.7439988,105-0001,東京都,,虎ノ門,5丁目,11,1,オランダヒルズ森タワー
35.7332846,139.7268678,,東京都,,,,,,オリエンタル大塚コーポラス
35.6886749,139.6853165,,東京都,,,,,,オリエンタル新宿コーポラス
35.6498611,139.3256164,,東京都,,,,,,オリエントコーポレーション八王子社宅
35.7086418,139.5802901,180-0002,東京都,武蔵野市,,吉祥寺東町一丁目,2,2,オリエントプラザ丹野
35.7322013,139.4714167,,東京都,,,,,,オリオンハイツ
35.6919578,139.6179366,,東京都,,,,,,オリオンパレス
35.6429493,139.7282336,,東京都,,,,,,オリオール・ガーデン
35.7007859,139.8152855,,東京都,,,,,,オリナスタワー
35.6378705,139.7390593,,東京都,,,,16,34,オリンピア高輪
35.6074028,139.3312478,,東京都,,,,,,オリーブ
35.7024677,139.5974832,,東京都,,,,,,オルフェウス
35.6729133,139.794413,,東京都,,,,,,オルフェ門仲
35.7272536,139.6042512,,東京都,,,,,,オルベリ ビュー ホーコー
35.6864747,139.5660644,,東京都,,,,,,オレンジハイツ
35.6942297,139.5458099,,東京都,,,,23,27,オレンジプレス
35.6035055,139.330216,,東京都,,,,,,オレンジポピー
35.750214,139.4722827,,東京都,,,,,,オーエムヒルズ
35.7058716,139.9020951,,東京都,,,,,,オーガスタ篠崎
35.7665626,139.7266006,,東京都,,,,,,オーキット ハイム
35.6811098,139.6337933,,東京都,,,,,,オーキッドレジデンス
35.6908426,139.8116939,135-0001,東京都,江東区,,毛利一丁目,1,4,オーキッドレジデンス住吉
35.6635971,139.7344584,,東京都,,,,,,オーキッドレジデンス六本木
35.6761001,139.6674521,,東京都,,,,,,オーキッド笹塚
35.7764869,139.4985338,,東京都,,,野塩五丁目,247,3,オークウッドⅡ
35.7391569,139.4895621,,東京都,,,,,,オークコンド
35.6805484,139.6069116,,東京都,,,,,,オークコート
35.706381,139.6494811,,東京都,,,,,,オークタワー高円寺
35.7568859,139.7308152,,東京都,,,,,,オークハイツ
35.6796408,139.6176714,,東京都,,,,,,オークハイツ
35.6797641,139.6176519,,東京都,,,,,,オークハイツⅡ
35.6210493,139.7214534,,東京都,,,,,,オークハウス品川大崎
35.5963554,139.7015527,,東京都,,,,,,オークヒルズ上池台
35.7014387,139.6048946,,東京都,,,,,,オークヒルテラス
35.6239887,139.3214939,,東京都,,,,,,オークフラッツ
35.6669981,139.559597,,東京都,調布市,深大寺東町,五丁目,46,13,オーチャード　コート
35.6632616,139.3248362,,東京都,,,,,,オートテラス
35.6225971,139.7296967,,東京都,,,,,,オーバルコート大崎ビュープラザ
35.6233312,139.7292286,,東京都,,,,,,オーバルコート大崎マークウーエスト
35.7044405,139.6661421,164-0001,東京都,中野区,,中野二丁目,26,13,オープンレジデンシア 中野ステーションサイド
35.7359631,139.7362317,,東京都,,,,,,オープンレジデンシア巣鴨ユニーブル
35.6538552,139.721469,,東京都,,,,,,オープンレジデンシア広尾ザハウスサウスコート
35.625814,139.731585,,東京都,,,,,,オープンレジデンシア高輪プレイス
35.771409,139.6412351,175-0093,東京都,板橋区,赤塚新町,2丁目,3,1,オープン赤塚ビル
35.7261423,139.7454925,,東京都,,,,,,オーベル 文京 千石
35.5508183,139.7289119,,東京都,,,,,,オーベルグランディオ萩中
35.6487835,139.558287,,東京都,,,,,,オーベルグランディオ調布国領
35.5968119,139.7088577,,東京都,,,,,,オーベルマゴメiL
35.6849303,139.5661945,,東京都,,,,,,オーベル吉祥寺 west
35.7434231,139.4620372,1890024,東京都,東村山市,富士見町,1丁目,2,32,オーベル小川レジデンス
35.588076,139.7224638,,東京都,,,,,,オーベル山王
35.6703403,139.8205885,,東京都,,,,,,オーベル東陽町
35.669255,139.8243054,,東京都,,,,,,オーベル東陽町サウシア
35.7274506,139.5767273,177-0051,東京都,練馬区,関町北,2丁目,29,5,オーベル武蔵関
35.7322961,139.6501499,,東京都,,,,,,オーベル練馬センティア
35.6509323,139.5621555,,東京都,,,,,,オーベル調布国領レジデンス
35.5930219,139.7030156,,東京都,,,,,,オーベル馬込
35.6503489,139.7197246,,東京都,,,,1,16,オーミチマンション
35.7178813,139.6126928,,東京都,,,,,,オールメリハイム
35.5050991,139.472134,,東京都,,,,,,カインドステージ南町田
35.7382241,139.4918063,,東京都,,,,,,カインドネス小平
35.5364317,139.4713779,,東京都,,,,,,カウンテスコート
35.644018,139.7122335,,東京都,,,,,,カゲオカビルディング
35.7716503,139.6424985,,東京都,,,,,,カサイコーポ
35.6817444,139.6125391,,東京都,,,,,,カサテ高井戸
35.7008949,139.6626271,,東京都,,,,,,カサデ エスペロ
35.6586264,139.6906029,,東京都,,,,,,カサビアンカ松濤
35.6057555,139.3273294,,東京都,,,,,,カサブランカ
35.696594,139.4202093,,東京都,,,,,,カサベルダ
35.7120259,139.6041291,,東京都,,,,,,カサベルデ
35.7693851,139.2995455,,東京都,,,,,,カサベルデ
35.7073277,139.6064108,,東京都,,,,,,カサベルデ西荻
35.7039668,139.7579916,,東京都,,,,,,カサ・フェリチエ本郷
35.606046,139.3371686,,東京都,,,,,,カショウハイツ
35.7683849,139.6443453,179-0073,東京都,練馬区,田柄,2丁目,33,9,カシワハイツ
35.6270745,139.7137946,,東京都,,,,,,カスタリア 目黒かむろ坂
35.6958066,139.7624616,101-0052,東京都,千代田区,神田小川町,3丁目,24,1,カスタリアお茶の水
35.6890115,139.8127346,,東京都,,,,16,1,カスタリア住吉Ⅱ
35.680013,139.6834812,,東京都,,,,,,カスタリア初台
35.7321531,139.7255573,,東京都,,,,,,カスタリア大塚２
35.5867146,139.7274358,,東京都,,,,,,カスタリア大森Ⅱ
35.6393925,139.7395106,,東京都,,,,,,カスタリア高輪
35.6342424,139.7318743,,東京都,,,,,,カスタリア高輪台Ⅱ
35.6320866,139.331786,,東京都,,,,,,カスティージョみなみ野シティ
35.6024841,139.3467255,,東京都,,,,,,カテドラル
35.6474467,139.7502319,108-0014,東京都,港区,,芝四丁目,16,1,カテリーナ三田タワースイート
35.6476921,139.7509784,108-0014,東京都,港区,,芝四丁目,16,2,カテリーナ三田タワースイートイーストアーク
35.5900813,139.7317834,,東京都,,,,,,カテリーナ大森
35.7068248,139.7658677,,東京都,文京区,湯島,2丁目,31,7,カテリーナ文京湯島
35.7709147,139.64342,,東京都,,,,,,カテリーナ赤塚フレックス
35.7576867,139.7404704,,東京都,,,,,,カトウパレス
35.6910125,139.6131337,,東京都,,,,,,カトルセゾン
35.657368,139.3744907,,東京都,,,,,,カトレアコート
35.6938322,139.5686397,,東京都,,,,,,カトレアハウス
35.6918652,139.6011264,,東京都,,,,,,カトレア・ハイム
35.6510073,139.6817053,,東京都,,,,,,カトレコート池尻
35.6266007,139.7177341,,東京都,品川区,,西五反田三丁目,8,3,カフェテラス　ミモザ　 cafe terrasse mimosa
35.7785219,139.3039311,198-0024,東京都,青梅市,新町,3丁目,6,6,カミールシモダ
35.6901765,139.5665237,,東京都,,,,,,カムフォート マツミ
35.6902757,139.5665053,,東京都,,,,,,カムフォート マツミⅡ
35.6902781,139.5666015,,東京都,,,,,,カムフォート マツミⅢ
35.7219783,139.7017895,,東京都,,,,,,カメリアヒルズ目白
35.6975825,139.8245606,,東京都,,,,,,カメリアプラザ
35.7144445,139.6013708,,東京都,,,,,,カメリカマンション第2
35.6912416,139.6008561,,東京都,,,,,,カリス久我山
35.770266,139.7445677,,東京都,,,,,,カリテス
35.6903897,139.6025153,,東京都,,,,,,カリンパス久我山
35.6930247,139.8099846,,東京都,,,,,,カリンパレス
35.7073084,139.581863,,東京都,,,,,,カリーノメゾン吉祥寺
35.6694164,139.5994058,,東京都,,,,,,カルスハイツ
35.6158053,139.4099582,206-0035,東京都,多摩市,唐木田,1丁目,54,24,カルチャーバレー唐木田1
35.7022884,139.6423338,,東京都,,,,,,カルフール
35.6865978,139.5207474,,東京都,,,,,,カルムA
35.6866507,139.5206273,,東京都,,,,,,カルムB
35.6866749,139.5204327,,東京都,,,,,,カルムC
35.6959938,139.8163166,130-0022,東京都,墨田区,,江東橋四丁目,29,,カルムガーデン錦糸町
35.608455,139.3320837,,東京都,,,,,,カルムメゾン
35.7273941,139.3707925,190-0034,東京都,立川市,,西砂町一丁目,45,,カルム・K
35.6660888,139.7169253,,東京都,,,,,,カルム南青山
35.6579301,139.6818557,,東京都,,,,,,カレッジコートⅡ
35.6680766,139.608276,157-0062,東京都,世田谷区,南烏山,2丁目,31,26,カレッジコート芦花公園
35.7696756,139.657842,,東京都,,,,,,カレッジスクエア東武練馬
35.550307,139.4483685,194-0021,東京都,町田市,中町,3丁目,4,4,カレッジスクエア町田
35.6552588,139.3141286,,東京都,,,,,,カレッジハイツ彗
35.6246967,139.28199,,東京都,,,,,,カレッジハウス扶桑
35.6252041,139.2817368,,東京都,,,,,,カレッジハウス扶桑
35.6246166,139.2815043,,東京都,,,,,,カレッジハウス扶桑
35.6754765,139.6660943,,東京都,,,,,,カワセハイム
35.690128,139.80311,,東京都,,,,,,カワナコーポ
35.7690679,139.3068033,,東京都,,,,,,カワバタハイツ
35.6916091,139.8111277,130-0022,東京都,墨田区,,江東橋五丁目,7,10,カンガルーハイツ錦糸町
35.6526522,139.6754783,,東京都,,,,,,カンタベリーコート
35.8074065,139.3154094,198-0023,東京都,青梅市,今井,2丁目,813,3,カンパニュラ
35.6070359,139.3286557,,東京都,,,,,,カンパネラ相原
35.801636,139.3040147,,東京都,,,,,,カンパーニュＡ
35.8014383,139.304155,,東京都,,,,,,カンパーニュＢ
35.7371177,139.7439753,,東京都,,,,,,カヴァリエ駒込
35.6822825,139.6172183,,東京都,,,,,,カーサ アルマ
35.7302643,139.7458917,,東京都,,,,,,カーサ エスト駕籠町
35.6896467,139.5663796,,東京都,,,,,,カーサ エスペランサ
35.7301347,139.7456887,,東京都,,,,,,カーサ オーヴェスト駕籠町
35.7229827,139.7529914,,東京都,,,,,,カーサ ディ モンテビアンコ
35.7816626,139.2817883,198-0042,東京都,青梅市,東青梅,4丁目,16,,カーサ ドクトラール
35.7324847,139.4932326,,東京都,,,,,,カーサ パセオ
35.6929462,139.6027127,,東京都,,,,,,カーサ パル
35.7328801,139.4883227,,東京都,,,,,,カーサ ビアンコ
35.7475565,139.7369154,,東京都,,,,,,カーサ フェリーチェ
35.6828963,139.6245286,,東京都,,,,,,カーサ ボニータ
35.7307684,139.4807686,,東京都,,,,,,カーサ マヤ
35.6768867,139.6726311,,東京都,,,,,,カーサ レガロ
35.6796321,139.6819936,,東京都,,,,,,カーサ 光
35.7131094,139.613889,,東京都,,,,,,カーサいずみ
35.7334676,139.4891296,,東京都,,,,,,カーサふじ
35.7665043,139.6472674,,東京都,,,,,,カーサアイハラ
35.783878,139.3119167,198-0024,東京都,青梅市,新町,8丁目,24,10,カーサアルバＡ
35.7840121,139.3119966,198-0024,東京都,青梅市,新町,8丁目,24,10,カーサアルバＢ
35.7684544,139.6516168,,東京都,,,,,,カーサウノ
35.7067186,139.7585085,,東京都,,,,,,カーサグランデ本郷
35.6516328,139.6817658,,東京都,,,,,,カーサコマツ
35.5911416,139.6834602,,東京都,,,,,,カーサコルテ
35.6526855,139.6722932,,東京都,,,,,,カーサソフィア
35.7000214,139.7839294,,東京都,,,,19,4,カーサタカハシ
35.5477954,139.7491983,144-0043,東京都,大田区,,羽田五丁目,24,12,カーサタマ
35.6437059,139.7038419,,東京都,,,,,,カーサテラスカラ
35.758487,139.7435713,,東京都,,,,,,カーサビアンカ
35.5683946,139.696725,,東京都,,,,,,カーサビアンカ池上 I
35.5684072,139.6969044,,東京都,,,,,,カーサビアンカ池上 II
35.7228737,139.7877982,,東京都,,,,,,カーサブリリア
35.8074994,139.3142171,198-0023,東京都,青梅市,今井,2丁目,829,3,カーサプルーノＡ
35.8077825,139.3141567,198-0023,東京都,青梅市,今井,2丁目,826,1,カーサプルーノＢ
35.807664,139.3142726,198-0023,東京都,青梅市,今井,2丁目,826,1,カーサプルーノＣ
35.6591579,139.6595074,,東京都,,,,,,カーサベルデ代田
35.7680068,139.6429852,,東京都,,,,,,カーサムサシノ
35.6858681,139.5684999,,東京都,,,,,,カーサヤマダ
35.7848265,139.282598,198-0036,東京都,青梅市,河辺町,5丁目,3,17,カーサラパス
35.7401297,139.7414385,,東京都,,,,,,カーサローレル
35.7836687,139.3111761,198-0024,東京都,青梅市,新町,8丁目,19,3,カーサヴェルデ
35.7770949,139.4996044,,東京都,,,,,,カーサ・アズール
35.6787386,139.6788641,,東京都,,,,,,カーサ・アルハムプラ
35.7027591,139.5834322,,東京都,,,,,,カーサ・シゲカワ
35.7329534,139.7563416,,東京都,,,,,,カーサ・トレム
35.7412127,139.7351157,,東京都,,,,,,カーサ・ビアンカ
35.6624395,139.6564691,,東京都,,,,,,カーサ・ピイノ
35.7713732,139.5167154,,東京都,清瀬市,,松山二丁目,4,39,カーサ・プレッソ
35.5476333,139.7448623,144-0043,東京都,大田区,,羽田三丁目,4,14,カーサ・ベルデス2
35.6183453,139.7459979,,東京都,,,,,,カーサ・マーレ
35.5499308,139.7492208,144-0043,東京都,大田区,,羽田五丁目,1,1,カーサ・ラティーフ
35.6900939,139.564701,,東京都,,,,,,カーサ・ルーチェ
35.6478949,139.7381844,,東京都,,,,,,カーサ三田
35.7061461,139.6145238,,東京都,,,,,,カーサ上荻
35.7709149,139.6391133,,東京都,,,,,,カーサ吉田
35.7332995,139.7323905,,東京都,,,,,,カーサ大塚
35.5772093,139.7284883,,東京都,,,,,,カーサ大森
35.6105903,139.3316248,,東京都,,,,,,カーサ宮崎Ⅱ
35.6849629,139.6084637,,東京都,,,,,,カーサ富士見ヶ丘
35.7694206,139.6595328,,東京都,,,,,,カーサ小原
35.6768779,139.674613,,東京都,,,,,,カーサ幡ヶ谷
35.6746495,139.6647488,,東京都,,,,,,カーサ徳安
35.5962614,139.7097445,,東京都,,,,,,カーサ橋本
35.7621108,139.3151034,,東京都,,,,,,カーサ武蔵野
35.6068622,139.3016528,,東京都,,,,,,カーサ神藤
35.7394121,139.4919125,,東京都,,,,,,カーサ美園 A
35.7393044,139.4918693,,東京都,,,,,,カーサ美園 B
35.6056687,139.326824,,東京都,,,,,,カーサ脇
35.6067881,139.6656947,,東京都,,,,,,カーサ自由ヶ丘
35.7685824,139.6438266,,東京都,,,,,,カーサ赤塚
35.762251,139.6698551,,東京都,,,,,,カーサ錦
35.6593839,139.6818051,,東京都,,,,,,カーサ駒場
35.7413393,139.7432386,,東京都,,,,,,カーサ駒込
35.676888,139.6742491,,東京都,,,,,,カーネルフラット
35.7333625,139.7427191,,東京都,,,,,,カーネ本駒込大和郷
35.5475431,139.7445305,144-0043,東京都,大田区,,羽田三丁目,5,10,カーム
35.6557402,139.6917648,,東京都,,,,,,カームテラス神泉
35.7486917,139.74236,,東京都,,,,,,カームリヴⅠ
35.748515,139.7427499,,東京都,,,,,,カームリヴⅡ
35.6795046,139.6787796,,東京都,,,,,,カーム幡ヶ谷
35.7323641,139.4842508,,東京都,,,,,,カーラハイツ
35.6975122,139.6145651,,東京都,,,,,,ガゼットハイツ
35.6776852,139.6752379,,東京都,,,,,,ガラ・シティ 幡ヶ谷
35.6245043,139.7182552,,東京都,,,,,,ガラ・シティ五反田
35.5853044,139.7279652,,東京都,,,,,,ガラ・シティ大森
35.6517895,139.7536455,,東京都,,,,,,ガラ・シティ芝公園
35.6740172,139.6649334,,東京都,,,,,,ガラ・シテイ笹塚
35.7096776,139.652215,,東京都,,,,,,ガラ・ステージ
